ID,Name,PackageManager,Platform,Description,HomepageURL,SourceCodeURL,Maintainer,License,Author
102,calceph,Conan,C/C++,"C Library designed to access the binary planetary ephemeris files, such INPOPxx, JPL DExxx and SPICE ephemeris files.",https://github.com/conan-io/conan-center-index,,,CECILL-C,
103,capnproto,Conan,C/C++,Cap'n Proto serialization/RPC system.,https://github.com/conan-io/conan-center-index,,,MIT,
104,capstone,Conan,C/C++,"Capstone disassembly/disassembler framework: Core (Arm, Arm64, BPF, EVM, M68K, M680X, MOS65xx, Mips, PPC, RISCV, Sparc, SystemZ, TMS320C64x, Web Assembly, X86, X86_64, XCore) + bindings.",https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
105,cargs,Conan,C/C++,"A lightweight getopt replacement that works on Linux, Windows and macOS. Command line argument parser library for C/C++. Can be used to parse argv and argc parameters.",https://github.com/conan-io/conan-center-index,,,MIT,
106,cassandra-cpp-driver,Conan,C/C++,DataStax C/C++ Driver for Apache Cassandra and DataStax Products,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
107,catch2,Conan,C/C++,"A modern, C++-native, header-only, framework for unit-tests, TDD and BDD",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
108,cc65,Conan,C/C++,A freeware C compiler for 6502 based systems,https://github.com/conan-io/conan-center-index,,,Zlib,
110,ccfits,Conan,C/C++,CCfits is an object oriented interface to the cfitsio library.,https://github.com/conan-io/conan-center-index,,,ISC,
111,cctz,Conan,C/C++,C++ library for translating between absolute and civil times,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
112,celero,Conan,C/C++,C++ Benchmarking Library,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
113,cereal,Conan,C/C++,Serialization header-only library for C++11.,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
114,ceres-solver,Conan,C/C++,"Ceres Solver is an open source C++ library for modeling                    and solving large, complicated optimization problems",https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
115,cern-root,Conan,C/C++,CERN ROOT data analysis framework.,https://github.com/conan-io/conan-center-index,,,LGPL-2.1-or-later,
117,cfitsio,Conan,C/C++,C library for reading and writing data files in FITS (Flexible Image Transport System) data format,https://github.com/conan-io/conan-center-index,,,ISC,
118,cgal,Conan,C/C++,C++ library that aims to provide easy access to efficient and reliable algorithmsin computational geometry.,https://github.com/conan-io/conan-center-index,,,GPL-3.0-or-later,
119,cgltf,Conan,C/C++,Single-file glTF 2.0 loader and writer written in C99.,https://github.com/conan-io/conan-center-index,,,MIT,
120,cgns,Conan,C/C++,Standard for data associated with the numerical solution of fluid dynamics equations.,https://github.com/conan-io/conan-center-index,,,Zlib,
121,chaiscript,Conan,C/C++,Embedded Scripting Language Designed for C++.,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
122,charls,Conan,C/C++,C++ implementation of the JPEG-LS standard for lossless and near-lossless image compression and decompression.,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
123,chipmunk2d,Conan,C/C++,"Chipmunk2D is a simple, lightweight, fast and portable 2D rigid body physics library written in C.",https://github.com/conan-io/conan-center-index,,,MIT,
124,cimg,Conan,C/C++,The CImg Library is a small and open-source C++ toolkit for image processing,https://github.com/conan-io/conan-center-index,,,CeCILL V2,
126,cityhash,Conan,C/C++,"CityHash, a family of hash functions for strings.",https://github.com/conan-io/conan-center-index,,,MIT,
127,civetweb,Conan,C/C++,Embedded C/C++ web server,https://github.com/conan-io/conan-center-index,,,MIT,
128,cjson,Conan,C/C++,Ultralightweight JSON parser in ANSI C.,https://github.com/conan-io/conan-center-index,,,MIT,
129,clara,Conan,C/C++,"A simple to use, composable, command line parser for C++ 11 and beyond",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
130,clhep,Conan,C/C++,Class Library for High Energy Physics.,https://github.com/conan-io/conan-center-index,,,LGPL-3.0-only,
131,cli11,Conan,C/C++,A command line parser for C++11 and beyond.,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
132,clipp,Conan,C/C++,"Easy to use, powerful & expressive command line argument parsing for modern C++ / single header / usage & doc generation.",https://github.com/conan-io/conan-center-index,,,MIT,
133,clipper,Conan,C/C++,Clipper is an open source freeware polygon clipping library,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
134,cmake,Conan,C/C++,Conan installer for CMake,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
136,cmp,Conan,C/C++,An implementation of the MessagePack serialization format in C / msgpack.org[C],https://github.com/conan-io/conan-center-index,,,MIT,
137,cn-cbor,Conan,C/C++,A constrained node implementation of CBOR in C,https://github.com/conan-io/conan-center-index,,,MIT,
138,cnpy,Conan,C/C++,library to read/write .npy and .npz files in C/C++,https://github.com/conan-io/conan-center-index,,,MIT,
140,coin-cbc,Conan,C/C++,COIN-OR Branch-and-Cut solver,https://github.com/conan-io/conan-center-index,,,EPL-2.0,
141,coin-cgl,Conan,C/C++,COIN-OR Cut Generator Library,https://github.com/conan-io/conan-center-index,,,EPL-2.0,
142,coin-clp,Conan,C/C++,COIN-OR Linear Programming Solver,https://github.com/conan-io/conan-center-index,,,EPL-2.0,
143,coin-osi,Conan,C/C++,COIN-OR Linear Programming Solver,https://github.com/conan-io/conan-center-index,,,EPL-2.0,
144,coin-utils,Conan,C/C++,CoinUtils is an open-source collection of classes and helper functions that are generally useful to multiple COIN-OR projects.,https://github.com/conan-io/conan-center-index,,,EPL-2.0,
145,concurrentqueue,Conan,C/C++,"A fast multi-producer, multi-consumer lock-free concurrent queue for C++11",https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
146,confu_json,Conan,C/C++,uses boost::fusion to help with serialization; json <-> user defined type,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
147,continuable,Conan,C/C++,"C++14 asynchronous allocation aware futures (supporting then, exception handling, coroutines and connections)",https://github.com/conan-io/conan-center-index,,,MIT,
148,corrade,Conan,C/C++,Corrade is a multiplatform utility library written in C++11/C++14.,https://github.com/conan-io/conan-center-index,,,MIT,
149,cose-c,Conan,C/C++,Implementation of COSE in C using cn-cbor and openssl,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
150,cotila,Conan,C/C++,A compile time linear algebra system,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
151,coz,Conan,C/C++,"Causal profiler, uses performance experiments
                     to predict the effect of optimizations",https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
152,cpp-httplib,Conan,C/C++,A C++11 single-file header-only cross platform HTTP/HTTPS library.,https://github.com/conan-io/conan-center-index,,,MIT,
153,cpp-jwt,Conan,C/C++,A C++ library for handling JWT tokens,https://github.com/conan-io/conan-center-index,,,MIT,
154,cpp-optparse,Conan,C/C++,Python's excellent OptionParser in C++,https://github.com/conan-io/conan-center-index,,,MIT,
155,cpp-peglib,Conan,C/C++,A single file C++11 header-only PEG (Parsing Expression Grammars) library.,https://github.com/conan-io/conan-center-index,,,MIT,
156,cpp-sort,Conan,C/C++,Additional sorting algorithms & related tools,https://github.com/conan-io/conan-center-index,,,MIT,
157,cpp-taskflow,Conan,C/C++,A fast C++ header-only library to help you quickly write parallel programs with complex task dependencies.,https://github.com/conan-io/conan-center-index,,,MIT,
158,cppbenchmark,Conan,C/C++,Performance benchmark framework for C++ with nanoseconds measure precision.,https://github.com/conan-io/conan-center-index,,,MIT,
159,cppcheck,Conan,C/C++,Cppcheck is an analysis tool for C/C++ code.,https://github.com/conan-io/conan-center-index,,,GPL-3.0-or-later,
160,cppcmd,Conan,C/C++,Simple cpp command interpreter header-only library,https://github.com/conan-io/conan-center-index,,,MIT,
161,cppcodec,Conan,C/C++,"Header-only C++11 library to encode/decode base64, base64url, base32, base32hex and hex (a.k.a. base16) as specified in RFC 4648, plus Crockford's base32",https://github.com/conan-io/conan-center-index,,,MIT,
162,cppcommon,Conan,C/C++,"C++ Common Library contains reusable components and patterns for error and exceptions handling, filesystem manipulations, math, string format and encoding, shared memory, threading, time management and others.",https://github.com/conan-io/conan-center-index,,,MIT,
163,cppitertools,Conan,C/C++,Implementation of python itertools and builtin iteration functions for C++17,https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
164,cpprestsdk,Conan,C/C++,A project for cloud-based client-server communication in native code using a modern asynchronous C++ API design,https://github.com/conan-io/conan-center-index,,,MIT,
165,cppserver,Conan,C/C++,"Ultra fast and low latency asynchronous socket server and client C++ library with support TCP, SSL, UDP, HTTP, HTTPS, WebSocket protocols and 10K connections problem solution.",https://github.com/conan-io/conan-center-index,,,MIT,
166,cpptoml,Conan,C/C++,cpptoml is a header-only library for parsing TOML ,https://github.com/conan-io/conan-center-index,,,MIT,
