pkg_idx,verId:START_ID(Version),pkgId:END_ID(Package),source_name,target_name,source_version,target_version,kind,os_platform
154,130,145,matreshka_sql_mysql,matreshka_league,20.1.0,20.1.0,BUILD,
154,130,152,matreshka_sql_mysql,matreshka_sql,20.1.0,20.1.0,BUILD,
151,131,145,matreshka_spikedog_core,matreshka_league,21.0.0,21.0.0,BUILD,
151,131,149,matreshka_spikedog_core,matreshka_spikedog_api,21.0.0,21.0.0,BUILD,
151,132,145,matreshka_spikedog_core,matreshka_league,20.1.0,20.1.0,BUILD,
151,132,149,matreshka_spikedog_core,matreshka_spikedog_api,20.1.0,20.1.0,BUILD,
151,133,145,matreshka_spikedog_core,matreshka_league,18.1.0,18.1.0,BUILD,
151,133,149,matreshka_spikedog_core,matreshka_spikedog_api,18.1.0,18.1.0,BUILD,
150,134,28,matreshka_spikedog_awsd,aws,20.1.0,any,BUILD,
150,134,145,matreshka_spikedog_awsd,matreshka_league,20.1.0,20.1.0,BUILD,
150,134,151,matreshka_spikedog_awsd,matreshka_spikedog_core,20.1.0,20.1.0,BUILD,
150,135,28,matreshka_spikedog_awsd,aws,18.1.0,any,BUILD,
150,135,145,matreshka_spikedog_awsd,matreshka_league,18.1.0,18.1.0,BUILD,
150,135,151,matreshka_spikedog_awsd,matreshka_spikedog_core,18.1.0,18.1.0,BUILD,
150,136,28,matreshka_spikedog_awsd,aws,21.0.0,any,BUILD,
150,136,145,matreshka_spikedog_awsd,matreshka_league,21.0.0,21.0.0,BUILD,
150,136,151,matreshka_spikedog_awsd,matreshka_spikedog_core,21.0.0,21.0.0,BUILD,
157,137,124,matreshka_sql_sqlite3,libsqlite3,20.1.0,any,BUILD,
157,137,145,matreshka_sql_sqlite3,matreshka_league,20.1.0,20.1.0,BUILD,
157,138,124,matreshka_sql_sqlite3,libsqlite3,21.0.0,any,BUILD,
157,138,145,matreshka_sql_sqlite3,matreshka_league,21.0.0,21.0.0,BUILD,
148,140,145,matreshka_soap_wsse,matreshka_league,21.0.0,21.0.0,BUILD,
148,140,147,matreshka_soap_wsse,matreshka_soap,21.0.0,21.0.0,BUILD,
148,141,145,matreshka_soap_wsse,matreshka_league,18.1.0,18.1.0,BUILD,
148,141,147,matreshka_soap_wsse,matreshka_soap,18.1.0,18.1.0,BUILD,
148,142,145,matreshka_soap_wsse,matreshka_league,20.1.0,20.1.0,BUILD,
148,142,147,matreshka_soap_wsse,matreshka_soap,20.1.0,20.1.0,BUILD,
155,143,96,matreshka_sql_oracle,libclntsh,20.1.0,any,BUILD,
155,143,145,matreshka_sql_oracle,matreshka_league,20.1.0,20.1.0,BUILD,
155,143,152,matreshka_sql_oracle,matreshka_sql,20.1.0,20.1.0,BUILD,
155,144,96,matreshka_sql_oracle,libclntsh,21.0.0,any,BUILD,
155,144,145,matreshka_sql_oracle,matreshka_league,21.0.0,21.0.0,BUILD,
155,144,152,matreshka_sql_oracle,matreshka_sql,21.0.0,21.0.0,BUILD,
152,145,145,matreshka_sql,matreshka_league,21.0.0,21.0.0,BUILD,
152,146,145,matreshka_sql,matreshka_league,18.1.0,18.1.0,BUILD,
152,147,145,matreshka_sql,matreshka_league,20.1.0,20.1.0,BUILD,
